DRR242140	Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
DRR242142	DRR242142	NA	NODE_101_length_10036_cov_34.625843	1174	2304	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.00	98.14	377	AAZ85968.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NA	NA
DRR242142	DRR242142	NA	NODE_119_length_9216_cov_44.074586	723	3824	+	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.00	99.42	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
DRR242142	DRR242142	NA	NODE_139_length_8473_cov_28.359804	1125	2900	-	ftsI_I336IKYRI	Escherichia aztreonam/cefiderocol/cephalosporin resistant FtsI	core	AMR	POINT	BETA-LACTAM	AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN	POINTX	592	592	100.00	99.83	592	WP_000642196.1	penicillin-binding protein PBP3 FtsI	NA	NA
DRR242142	DRR242142	NA	NODE_206_length_6714_cov_32.389116	4109	4438	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.00	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NA	NA
DRR242142	DRR242142	NA	NODE_29_length_18231_cov_34.995643	9968	10231	+	ariR	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTX	88	88	100.00	98.86	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
DRR242142	DRR242142	NA	NODE_325_length_4662_cov_45.477975	962	3505	-	cyaA_S352T	Escherichia fosmidomycin resistant CyaA	core	AMR	POINT	FOSMIDOMYCIN	FOSMIDOMYCIN	POINTX	848	848	100.00	99.29	848	WP_000281668.1	adenylate cyclase CyaA	NA	NA
DRR242142	DRR242142	NA	NODE_413_length_3805_cov_28.286562	1683	2885	-	tet(B)	tetracycline efflux MFS transporter Tet(B)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	401	401	100.00	100.00	401	WP_001089068.1	tetracycline efflux MFS transporter Tet(B)	NA	NA
DRR242142	DRR242142	NA	NODE_485_length_3130_cov_25.813263	2	1705	-	parC_S80I	Escherichia quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	568	752	75.53	99.82	568	WP_001281881.1	DNA topoisomerase IV subunit A ParC	NA	NA
DRR242142	DRR242142	NA	NODE_617_length_2210_cov_28.992894	1085	1819	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	245	245	100.00	99.59	245	WP_002321849.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
DRR242142	DRR242142	NA	NODE_72_length_12761_cov_37.708689	2461	3681	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	407	473	86.05	91.15	407	ADD54679.1	type III secretion system effector EspX1	NA	NA
DRR242142	DRR242142	NA	NODE_866_length_1188_cov_23.713499	118	975	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
DRR242142	DRR242142	NA	NODE_879_length_1159_cov_12.988679	311	781	-	dfrA17	trimethoprim-resistant dihydrofolate reductase DfrA17	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_001389366.1	trimethoprim-resistant dihydrofolate reductase DfrA17	NA	NA
DRR242145	DRR242145	NA	NODE_1001_length_1236_cov_22.365875	185	997	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
DRR242145	DRR242145	NA	NODE_1070_length_1113_cov_20.781065	3	1112	-	iutA	ferric aerobactin receptor IutA	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	370	731	50.62	90.81	370	AAN45165.2	ferric aerobactin receptor IutA	NA	NA
DRR242145	DRR242145	NA	NODE_12_length_25650_cov_31.892803	11088	15329	+	fdeC	inverse autotransporter adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1414	1416	99.93	92.44	1415	ABE05822.1	inverse autotransporter adhesin FdeC	NA	NA
DRR242145	DRR242145	NA	NODE_1390_length_621_cov_53.379310	99	506	-	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIALX	136	157	86.62	100.00	136	WP_004201280.1	trimethoprim-resistant dihydrofolate reductase DfrA14	NA	NA
DRR242145	DRR242145	NA	NODE_13_length_24931_cov_29.313789	24257	24826	-	lpfA-O113	long polar fimbria major subunit LpfA-O113	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	190	190	100.00	100.00	190	ACB16424.1	long polar fimbria major subunit LpfA-O113	NA	NA
DRR242145	DRR242145	NA	NODE_143_length_7786_cov_24.161441	4538	5113	-	terD	tellurium resistance membrane protein TerD	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTX	192	192	100.00	96.35	192	AAA98292.1	tellurium resistance membrane protein TerD	NA	NA
DRR242145	DRR242145	NA	NODE_185_length_6390_cov_30.304880	938	1228	+	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	97	97	100.00	100.00	97	CAR12622.1	increased serum survival lipoprotein Iss	NA	NA
DRR242145	DRR242145	NA	NODE_19_length_17525_cov_36.628371	13176	14870	+	eilA	HilA family transcriptional regulator EilA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	565	565	100.00	100.00	565	CBG36837.1	HilA family transcriptional regulator EilA	NA	NA
DRR242145	DRR242145	NA	NODE_1_length_71604_cov_30.006028	564	1028	+	terW	tellurium resistance protein TerW	plus	STRESS	METAL	TELLURIUM	TELLURIUM	EXACTX	155	155	100.00	100.00	155	AAC44736.1	tellurium resistance protein TerW	NA	NA
DRR242145	DRR242145	NA	NODE_280_length_5032_cov_31.468275	1197	3740	+	cyaA_S352T	Escherichia fosmidomycin resistant CyaA	core	AMR	POINT	FOSMIDOMYCIN	FOSMIDOMYCIN	POINTX	848	848	100.00	99.29	848	WP_000281668.1	adenylate cyclase CyaA	NA	NA
DRR242145	DRR242145	NA	NODE_287_length_4972_cov_25.959163	945	2861	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	98.12	639	WP_063856397.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
DRR242145	DRR242145	NA	NODE_287_length_4972_cov_25.959163	4293	4622	-	qacL	quaternary ammonium compound efflux SMR transporter QacL	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	110	110	100.00	100.00	110	WP_000800531.1	quaternary ammonium compound efflux SMR transporter QacL	NA	NA
DRR242145	DRR242145	NA	NODE_331_length_4494_cov_30.307850	2028	2387	+	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	120	120	100.00	90.00	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NA	NA
DRR242145	DRR242145	NA	NODE_336_length_4467_cov_14.469322	3866	4444	+	terZ	tellurium resistance-associated protein TerZ	plus	STRESS	METAL	TELLURIUM	TELLURIUM	BLASTX	193	193	100.00	98.45	193	AAA86846.1	tellurium resistance-associated protein TerZ	NA	NA
DRR242145	DRR242145	NA	NODE_387_length_3999_cov_23.865641	725	1855	-	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.00	98.67	377	AAZ85968.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NA	NA
DRR242145	DRR242145	NA	NODE_39_length_13002_cov_40.672402	1146	3230	-	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	695	695	100.00	100.00	695	ACB20136.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
DRR242145	DRR242145	NA	NODE_424_length_3781_cov_21.228137	2579	3781	+	mdtM	multidrug efflux MFS transporter MdtM	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	401	410	97.80	100.00	401	AAC77293.1	multidrug efflux MFS transporter MdtM	NA	NA
DRR242145	DRR242145	NA	NODE_476_length_3331_cov_23.548267	3	908	-	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	302	473	63.85	92.38	302	ADD54679.1	type III secretion system effector EspX1	NA	NA
DRR242145	DRR242145	NA	NODE_504_length_3128_cov_19.328821	3	1703	-	parC_S80I	Escherichia quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	567	752	75.40	99.82	567	WP_001281881.1	DNA topoisomerase IV subunit A ParC	NA	NA
DRR242145	DRR242145	NA	NODE_610_length_2554_cov_15.013442	348	842	+	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12	NA	NA
DRR242145	DRR242145	NA	NODE_610_length_2554_cov_15.013442	1253	2041	+	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206356.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	NA	NA
DRR242145	DRR242145	NA	NODE_634_length_2442_cov_23.226633	804	2078	+	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	425	445	95.51	97.65	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD	NA	NA
DRR242145	DRR242145	NA	NODE_783_length_1834_cov_42.846686	304	957	-	qnrS1	quinolone resistance pentapeptide repeat protein QnrS1	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	218	218	100.00	100.00	218	WP_001516695.1	quinolone resistance pentapeptide repeat protein QnrS1	NA	NA
DRR242145	DRR242145	NA	NODE_7_length_29822_cov_28.220334	21073	21336	-	ariR	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTX	88	88	100.00	98.86	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
DRR242145	DRR242145	NA	NODE_829_length_1718_cov_43.387894	237	623	+	bleO	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	BLASTX	129	134	96.27	100.00	129	WP_001242578.1	bleomycin binding protein	NA	NA
DRR242145	DRR242145	NA	NODE_923_length_1445_cov_14.638187	3	623	-	aadA15	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	207	263	78.71	100.00	207	WP_025672409.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15	NA	NA
DRR242145	DRR242145	NA	NODE_923_length_1445_cov_14.638187	719	1444	-	cmlA1	chloramphenicol efflux MFS transporter CmlA1	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	PARTIAL_CONTIG_ENDX	242	419	57.76	100.00	242	WP_000095725.1	chloramphenicol efflux MFS transporter CmlA1	NA	NA
DRR242145	DRR242145	NA	NODE_96_length_9048_cov_31.766790	5225	8326	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1034	1034	100.00	99.32	1034	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
DRR242147	DRR242147	NA	NODE_1038_length_1119_cov_12.927451	397	867	+	dfrA17	trimethoprim-resistant dihydrofolate reductase DfrA17	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_001389366.1	trimethoprim-resistant dihydrofolate reductase DfrA17	NA	NA
DRR242147	DRR242147	NA	NODE_1064_length_1077_cov_5.342536	384	1076	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	231	278	83.09	100.00	231	WP_000480972.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
DRR242147	DRR242147	NA	NODE_119_length_7921_cov_24.819228	2	2098	-	acrF	multidrug efflux RND transporter permease subunit AcrF	plus	AMR	AMR	EFFLUX	EFFLUX	PARTIAL_CONTIG_ENDX	699	1034	67.60	99.43	699	AAC76298.1	multidrug efflux RND transporter permease subunit AcrF	NA	NA
DRR242147	DRR242147	NA	NODE_138_length_7524_cov_29.934815	1776	5660	+	sat	serine protease autotransporter toxin Sat	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	1295	1295	100.00	100.00	1295	CAE55775.1	serine protease autotransporter toxin Sat	NA	NA
DRR242147	DRR242147	NA	NODE_158_length_6862_cov_26.431465	2026	3750	-	ptsI_V25I	Escherichia fosfomycin resistant PtsI	core	AMR	POINT	FOSFOMYCIN	FOSFOMYCIN	POINTX	575	575	100.00	99.65	575	WP_000623140.1	phosphoenolpyruvate--protein phosphotransferase PtsI	NA	NA
DRR242147	DRR242147	NA	NODE_174_length_6395_cov_24.360229	3	2612	-	fdeC	inverse autotransporter adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	870	1416	61.44	99.54	870	ABE05822.1	inverse autotransporter adhesin FdeC	NA	NA
DRR242147	DRR242147	NA	NODE_1_length_57080_cov_19.897668	53111	53584	+	dfrA51	trimethoprim-resistant dihydrofolate reductase DfrA51	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	158	158	100.00	90.51	158	WP_000781812.1	trimethoprim-resistant dihydrofolate reductase DfrA51	NA	NA
DRR242147	DRR242147	NA	NODE_29_length_15084_cov_66.768035	12768	13940	+	senB	enterotoxin production-related protein TieB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	391	391	100.00	100.00	391	AAZ89288.1	enterotoxin production-related protein TieB	NA	NA
DRR242147	DRR242147	NA	NODE_312_length_4416_cov_30.376187	549	878	+	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.00	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NA	NA
DRR242147	DRR242147	NA	NODE_3_length_30254_cov_23.644238	11445	11708	+	ariR	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTX	88	88	100.00	97.73	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
DRR242147	DRR242147	NA	NODE_529_length_2712_cov_29.398010	2072	2356	+	papA	P fimbria major subunit PapA	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	95	185	51.89	87.50	96	CAA43562.1	P fimbria major subunit PapA	NA	NA
DRR242147	DRR242147	NA	NODE_549_length_2632_cov_25.447690	2	973	+	iucC	NIS family aerobactin synthetase IucC	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	324	580	55.86	98.77	324	AAN82073.1	NIS family aerobactin synthetase IucC	NA	NA
DRR242147	DRR242147	NA	NODE_549_length_2632_cov_25.447690	973	2247	+	iucD	NADPH-dependent L-lysine N(6)-monooxygenase IucD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	425	445	95.51	97.65	425	AAD44749.1	NADPH-dependent L-lysine N(6)-monooxygenase IucD	NA	NA
DRR242147	DRR242147	NA	NODE_68_length_10540_cov_24.541423	5783	6073	-	iss	increased serum survival lipoprotein Iss	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	97	97	100.00	100.00	97	ADN71659.1	increased serum survival lipoprotein Iss	NA	NA
DRR242147	DRR242147	NA	NODE_70_length_10281_cov_21.886663	4680	6569	+	parE_I529L	Escherichia quinolone resistant ParE	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	630	630	100.00	99.52	630	WP_033554192.1	DNA topoisomerase IV subunit B ParE	NA	NA
DRR242147	DRR242147	NA	NODE_71_length_10213_cov_23.017797	1762	2892	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.00	98.94	377	AAZ85965.1	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NA	NA
DRR242147	DRR242147	NA	NODE_854_length_1539_cov_8.652778	3	731	-	iucB	N(6)-hydroxylysine O-acetyltransferase IucB	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIAL_CONTIG_ENDX	243	315	77.14	99.59	243	AAN82074.1	N(6)-hydroxylysine O-acetyltransferase IucB	NA	NA
DRR242147	DRR242147	NA	NODE_85_length_9380_cov_28.167762	1346	3433	+	iha	bifunctional siderophore receptor/adhesin Iha	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	696	696	100.00	100.00	696	ADN47767.1	bifunctional siderophore receptor/adhesin Iha	NA	NA
DRR242150	DRR242150	NA	NODE_10_length_145593_cov_27.011011	81833	82096	+	ariR	biofilm/acid-resistance regulator AriR	plus	STRESS	ACID	NA	NA	BLASTX	88	88	100.00	98.86	88	AAC74250.1	biofilm/acid-resistance regulator AriR	NA	NA
DRR242150	DRR242150	NA	NODE_12_length_131481_cov_34.185817	129180	130310	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377	100.00	98.14	377	AAZ85968.1	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NA	NA
DRR242150	DRR242150	NA	NODE_15_length_114468_cov_33.303876	78574	79761	-	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.00	99.75	396	EFF04178.1	multidrug efflux MFS transporter EmrD	NA	NA
DRR242150	DRR242150	NA	NODE_15_length_114468_cov_33.303876	97631	104587	+	air	inverse autotransporter adhesin EaeX/Air	plus	VIRULENCE	VIRULENCE	NA	NA	PARTIALX	2319	3418	67.85	91.33	2319	CAR15326.1	inverse autotransporter adhesin EaeX/Air	NA	NA
DRR242150	DRR242150	NA	NODE_1_length_392086_cov_28.808136	208836	211460	+	gyrA_D87N	Escherichia quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	875	878	99.66	98.74	875	WP_001281243.1	DNA gyrase subunit A GyrA	NA	NA
DRR242150	DRR242150	NA	NODE_1_length_392086_cov_28.808136	208836	211460	+	gyrA_S83L	Escherichia quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	875	878	99.66	98.74	875	WP_001281243.1	DNA gyrase subunit A GyrA	NA	NA
DRR242150	DRR242150	NA	NODE_21_length_90225_cov_34.426669	45358	47901	-	cyaA_S352T	Escherichia fosmidomycin resistant CyaA	core	AMR	POINT	FOSMIDOMYCIN	FOSMIDOMYCIN	POINTX	848	848	100.00	99.29	848	WP_000281668.1	adenylate cyclase CyaA	NA	NA
DRR242150	DRR242150	NA	NODE_25_length_73853_cov_26.846612	52894	53223	-	emrE	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	BLASTX	110	110	100.00	98.18	110	CAA77936.1	multidrug efflux SMR transporter EmrE	NA	NA
DRR242150	DRR242150	NA	NODE_29_length_65029_cov_26.515663	11869	13668	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	99.50	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
DRR242150	DRR242150	NA	NODE_29_length_65029_cov_26.515663	13658	15457	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	99.50	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
DRR242150	DRR242150	NA	NODE_3_length_238763_cov_33.008557	74629	76518	+	parE_S458A	Escherichia quinolone resistant ParE	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	630	630	100.00	99.68	630	WP_033554192.1	DNA topoisomerase IV subunit B ParE	NA	NA
DRR242150	DRR242150	NA	NODE_3_length_238763_cov_33.008557	84052	86307	+	parC_S80I	Escherichia quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	752	752	100.00	99.87	752	WP_001281881.1	DNA topoisomerase IV subunit A ParC	NA	NA
DRR242150	DRR242150	NA	NODE_4_length_229003_cov_32.416555	128600	130375	-	ftsI_I336IKYRI	Escherichia aztreonam/cefiderocol/cephalosporin resistant FtsI	core	AMR	POINT	BETA-LACTAM	AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN	POINTX	592	592	100.00	99.83	592	WP_000642196.1	penicillin-binding protein PBP3 FtsI	NA	NA
DRR242150	DRR242150	NA	NODE_4_length_229003_cov_32.416555	202209	203627	+	espX1	type III secretion system effector EspX1	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	473	473	100.00	90.70	473	ADD54679.1	type III secretion system effector EspX1	NA	NA
DRR242150	DRR242150	NA	NODE_6_length_162937_cov_30.245004	62105	66352	+	fdeC	inverse autotransporter adhesin FdeC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1416	1416	100.00	94.77	1416	ABE05822.1	inverse autotransporter adhesin FdeC	NA	NA
DRR242150	DRR242150	NA	NODE_76_length_5607_cov_20.671024	4633	5490	-	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
DRR242150	DRR242150	NA	NODE_77_length_4811_cov_36.183998	169	1071	+	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	BLASTX	301	301	100.00	100.00	301	WP_000219391.1	Mph(A) family macrolide 2'-phosphotransferase	NA	NA
DRR242150	DRR242150	NA	NODE_78_length_4625_cov_18.766902	898	1368	+	dfrA17	trimethoprim-resistant dihydrofolate reductase DfrA17	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_001389366.1	trimethoprim-resistant dihydrofolate reductase DfrA17	NA	NA
DRR242150	DRR242150	NA	NODE_78_length_4625_cov_18.766902	1502	2287	+	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	262	262	100.00	100.00	262	WP_000503573.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	NA	NA
DRR242150	DRR242150	NA	NODE_78_length_4625_cov_18.766902	2496	2840	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
DRR242150	DRR242150	NA	NODE_78_length_4625_cov_18.766902	2837	3673	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
