"ERR","Element.symbol","Subclass","ST","Source","Type"
"DRR242163","blaEC","BETA-LACTAM","617","Human","ESBL"
"DRR242164","blaTEM-1","BETA-LACTAM","-","Human","ESBL"
"DRR242164","blaEC","BETA-LACTAM","-","Human","ESBL"
"DRR242165","blaEC","BETA-LACTAM","-","Human","ESBL"
"DRR242167","blaEC","BETA-LACTAM","405","Human","ESBL"
"DRR242167","ftsI_I336IKYRI","AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN","405","Human","ESBL"
"DRR242167","blaTEM-1","BETA-LACTAM","405","Human","ESBL"
"DRR242167","blaCTX-M-15","CEPHALOSPORIN","405","Human","ESBL"
"DRR242168","blaEC","BETA-LACTAM","69","Human","ESBL"
"DRR242168","blaCTX-M-14","CEPHALOSPORIN","69","Human","ESBL"
"DRR242169","blaCTX-M-15","CEPHALOSPORIN","617","Human","ESBL"
"DRR242169","blaOXA-1","CEPHALOSPORIN","617","Human","ESBL"
"DRR242169","blaEC","BETA-LACTAM","617","Human","ESBL"
"DRR242170","blaEC","BETA-LACTAM","69","Human","ESBL"
"DRR242171","blaEC","BETA-LACTAM","69","Human","ESBL"
"DRR242173","blaCTX-M","CEPHALOSPORIN","617","Human","ESBL"
"DRR242173","blaEC","BETA-LACTAM","617","Human","ESBL"
"DRR242174","blaCTX-M-27","CEPHALOSPORIN","131","Human","ESBL"
"DRR242174","blaEC","BETA-LACTAM","131","Human","ESBL"
"DRR242176","blaEC","BETA-LACTAM","8767","Human","ESBL"
"DRR242176","blaCTX-M-15","CEPHALOSPORIN","8767","Human","ESBL"
"DRR242176","blaCTX-M-14","CEPHALOSPORIN","8767","Human","ESBL"
"DRR242176","blaTEM-1","BETA-LACTAM","8767","Human","ESBL"
"DRR242177","blaTEM-1","BETA-LACTAM","648","Human","ESBL"
"DRR242177","blaEC","BETA-LACTAM","648","Human","ESBL"
"DRR242177","blaCTX-M-15","CEPHALOSPORIN","648","Human","ESBL"
"DRR242177","blaOXA-1","CEPHALOSPORIN","648","Human","ESBL"
"DRR242178","blaCTX-M","CEPHALOSPORIN","131","Human","ESBL"
"DRR242178","blaTEM-1","BETA-LACTAM","131","Human","ESBL"
"DRR242178","blaOXA-1","CEPHALOSPORIN","131","Human","ESBL"
"DRR242178","blaEC","BETA-LACTAM","131","Human","ESBL"
"DRR242180","blaEC","BETA-LACTAM","617","Human","ESBL"
"DRR242180","blaCTX-M","CEPHALOSPORIN","617","Human","ESBL"
"DRR242181","blaEC","BETA-LACTAM","131","Human","ESBL"
"DRR242181","blaCTX-M-27","CEPHALOSPORIN","131","Human","ESBL"
"DRR242182","blaTEM-1","BETA-LACTAM","648","Human","ESBL"
"DRR242182","blaEC","BETA-LACTAM","648","Human","ESBL"
"DRR242182","blaCTX-M-15","CEPHALOSPORIN","648","Human","ESBL"
"DRR242182","blaOXA-1","CEPHALOSPORIN","648","Human","ESBL"
"DRR242183","blaEC","BETA-LACTAM","131","Human","ESBL"
"DRR242183","blaCTX-M-27","CEPHALOSPORIN","131","Human","ESBL"
"DRR242184","blaEC","BETA-LACTAM","44","Human","ESBL"
"DRR242184","blaCTX-M-15","CEPHALOSPORIN","44","Human","ESBL"
"DRR242185","blaTEM-1","BETA-LACTAM","-","Human","ESBL"
"DRR242185","blaCTX-M","CEPHALOSPORIN","-","Human","ESBL"
"DRR242185","blaEC","BETA-LACTAM","-","Human","ESBL"
"DRR315538","blaCTX-M-55","CEPHALOSPORIN","69","Animal","ESBL"
"DRR315538","blaEC","BETA-LACTAM","69","Animal","ESBL"
"DRR315539","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315539","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315539","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315540","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315540","blaCTX-M-14","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315541","blaEC","BETA-LACTAM","69","Animal","ESBL"
"DRR315541","blaCTX-M-55","CEPHALOSPORIN","69","Animal","ESBL"
"DRR315542","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315542","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315542","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315543","blaEC","BETA-LACTAM","69","Animal","ESBL"
"DRR315543","blaCTX-M-55","CEPHALOSPORIN","69","Animal","ESBL"
"DRR315544","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315544","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315544","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315545","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315545","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315545","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315546","blaEC","BETA-LACTAM","69","Animal","ESBL"
"DRR315546","blaCTX-M-55","CEPHALOSPORIN","69","Animal","ESBL"
"DRR315547","blaCTX-M-14","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315547","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315548","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315548","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315548","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315549","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315549","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315549","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315550","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315550","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315550","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315551","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315551","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315551","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315552","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315552","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315552","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315553","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315553","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315553","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315554","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315554","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315554","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315555","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315555","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315555","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315556","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315556","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315556","blaEC","BETA-LACTAM","155","Animal","ESBL"
"DRR315557","blaCTX-M-55","CEPHALOSPORIN","155","Animal","ESBL"
"DRR315557","blaTEM","BETA-LACTAM","155","Animal","ESBL"
"DRR315557","blaEC","BETA-LACTAM","155","Animal","ESBL"
"ERR10391346","blaCTX-M-15","CEPHALOSPORIN","226","Animal","ESBL"
"ERR10391346","blaTEM-1","BETA-LACTAM","226","Animal","ESBL"
"ERR10391346","blaEC","BETA-LACTAM","226","Animal","ESBL"
"ERR10391347","blaEC","BETA-LACTAM","1312","Animal","ESBL"
"ERR10391347","blaCTX-M-15","CEPHALOSPORIN","1312","Animal","ESBL"
"ERR10391348","blaCTX-M-27","CEPHALOSPORIN","746","Animal","ESBL"
"ERR10391348","blaEC","BETA-LACTAM","746","Animal","ESBL"
"ERR10391349","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391349","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391350","blaCTX-M-15","CEPHALOSPORIN","38","Animal","ESBL"
"ERR10391350","blaTEM-1","BETA-LACTAM","38","Animal","ESBL"
"ERR10391350","blaEC","BETA-LACTAM","38","Animal","ESBL"
"ERR10391351","blaEC","BETA-LACTAM","10","Animal","ESBL"
"ERR10391351","blaCTX-M-15","CEPHALOSPORIN","10","Animal","ESBL"
"ERR10391352","blaCTX-M-15","CEPHALOSPORIN","484","Animal","ESBL"
"ERR10391352","blaTEM-1","BETA-LACTAM","484","Animal","ESBL"
"ERR10391352","blaEC","BETA-LACTAM","484","Animal","ESBL"
"ERR10391353","blaEC","BETA-LACTAM","58","Animal","ESBL"
"ERR10391353","blaTEM-1","BETA-LACTAM","58","Animal","ESBL"
"ERR10391353","blaCTX-M-15","CEPHALOSPORIN","58","Animal","ESBL"
"ERR10391354","blaCTX-M-27","CEPHALOSPORIN","206","Animal","ESBL"
"ERR10391354","blaEC","BETA-LACTAM","206","Animal","ESBL"
"ERR10391355","blaCTX-M-15","CEPHALOSPORIN","602","Animal","ESBL"
"ERR10391355","blaEC","BETA-LACTAM","602","Animal","ESBL"
"ERR10391356","blaEC","BETA-LACTAM","13616","Animal","ESBL"
"ERR10391356","blaCTX-M-15","CEPHALOSPORIN","13616","Animal","ESBL"
"ERR10391357","blaCTX-M-15","CEPHALOSPORIN","206","Animal","ESBL"
"ERR10391357","blaEC","BETA-LACTAM","206","Animal","ESBL"
"ERR10391358","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391358","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391359","blaCTX-M-15","CEPHALOSPORIN","4429","Animal","ESBL"
"ERR10391359","blaTEM-1","BETA-LACTAM","4429","Animal","ESBL"
"ERR10391359","blaEC","BETA-LACTAM","4429","Animal","ESBL"
"ERR10391360","blaCTX-M-15","CEPHALOSPORIN","48","Animal","ESBL"
"ERR10391360","blaTEM-1","BETA-LACTAM","48","Animal","ESBL"
"ERR10391360","blaEC","BETA-LACTAM","48","Animal","ESBL"
"ERR10391361","blaEC","BETA-LACTAM","12780","Animal","ESBL"
"ERR10391361","blaCTX-M-15","CEPHALOSPORIN","12780","Animal","ESBL"
"ERR10391362","blaCTX-M-27","CEPHALOSPORIN","206","Animal","ESBL"
"ERR10391362","blaEC","BETA-LACTAM","206","Animal","ESBL"
"ERR10391363","blaCTX-M-115","CEPHALOSPORIN","648","Animal","ESBL"
"ERR10391363","blaEC","BETA-LACTAM","648","Animal","ESBL"
"ERR10391363","blaTEM","BETA-LACTAM","648","Animal","ESBL"
"ERR10391364","blaTEM-1","BETA-LACTAM","1485","Animal","ESBL"
"ERR10391364","blaCTX-M-3","CEPHALOSPORIN","1485","Animal","ESBL"
"ERR10391364","blaEC","BETA-LACTAM","1485","Animal","ESBL"
"ERR10391365","blaEC","BETA-LACTAM","1312","Animal","ESBL"
"ERR10391365","blaCTX-M-15","CEPHALOSPORIN","1312","Animal","ESBL"
"ERR10391365","blaTEM-1","BETA-LACTAM","1312","Animal","ESBL"
"ERR10391366","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391366","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391367","blaEC","BETA-LACTAM","10","Animal","ESBL"
"ERR10391367","blaCTX-M-15","CEPHALOSPORIN","10","Animal","ESBL"
"ERR10391368","blaCTX-M-14","CEPHALOSPORIN","2705","Animal","ESBL"
"ERR10391368","blaEC","BETA-LACTAM","2705","Animal","ESBL"
"ERR10391369","blaEC","BETA-LACTAM","450","Animal","ESBL"
"ERR10391369","blaTEM-1","BETA-LACTAM","450","Animal","ESBL"
"ERR10391369","blaCTX-M-15","CEPHALOSPORIN","450","Animal","ESBL"
"ERR10391370","blaCTX-M-115","CEPHALOSPORIN","648","Animal","ESBL"
"ERR10391370","blaTEM","BETA-LACTAM","648","Animal","ESBL"
"ERR10391370","blaEC","BETA-LACTAM","648","Animal","ESBL"
"ERR10391371","blaEC","BETA-LACTAM","1584","Animal","ESBL"
"ERR10391371","blaTEM-1","BETA-LACTAM","1584","Animal","ESBL"
"ERR10391371","blaCTX-M-15","CEPHALOSPORIN","1584","Animal","ESBL"
"ERR10391372","blaEC","BETA-LACTAM","38","Animal","ESBL"
"ERR10391372","blaCTX-M-27","CEPHALOSPORIN","38","Animal","ESBL"
"ERR10391373","blaCTX-M-27","CEPHALOSPORIN","13617","Animal","ESBL"
"ERR10391373","blaEC","BETA-LACTAM","13617","Animal","ESBL"
"ERR10391374","blaCTX-M-14","CEPHALOSPORIN","2705","Animal","ESBL"
"ERR10391374","blaEC","BETA-LACTAM","2705","Animal","ESBL"
"ERR10391375","blaEC","BETA-LACTAM","746","Animal","ESBL"
"ERR10391375","blaCTX-M-15","CEPHALOSPORIN","746","Animal","ESBL"
"ERR10391376","blaCTX-M-15","CEPHALOSPORIN","12349","Animal","ESBL"
"ERR10391376","blaOXA-1","CEPHALOSPORIN","12349","Animal","ESBL"
"ERR10391376","blaEC","BETA-LACTAM","12349","Animal","ESBL"
"ERR10391377","blaCTX-M-15","CEPHALOSPORIN","484","Animal","ESBL"
"ERR10391377","blaTEM-1","BETA-LACTAM","484","Animal","ESBL"
"ERR10391377","blaEC","BETA-LACTAM","484","Animal","ESBL"
"ERR10391378","blaEC","BETA-LACTAM","10","Animal","ESBL"
"ERR10391378","blaCTX-M-15","CEPHALOSPORIN","10","Animal","ESBL"
"ERR10391379","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391379","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391380","blaEC","BETA-LACTAM","485","Animal","ESBL"
"ERR10391380","blaCTX-M-15","CEPHALOSPORIN","485","Animal","ESBL"
"ERR10391380","blaTEM-1","BETA-LACTAM","485","Animal","ESBL"
"ERR10391381","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391381","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391382","blaEC","BETA-LACTAM","12821","Animal","ESBL"
"ERR10391382","blaCTX-M-55","CEPHALOSPORIN","12821","Animal","ESBL"
"ERR10391383","blaCTX-M-15","CEPHALOSPORIN","11189","Animal","ESBL"
"ERR10391383","blaEC","BETA-LACTAM","11189","Animal","ESBL"
"ERR10391384","blaEC","BETA-LACTAM","12780","Animal","ESBL"
"ERR10391384","blaCTX-M-15","CEPHALOSPORIN","12780","Animal","ESBL"
"ERR10391385","blaEC","BETA-LACTAM","12821","Animal","ESBL"
"ERR10391385","blaCTX-M-55","CEPHALOSPORIN","12821","Animal","ESBL"
"ERR10391386","blaEC","BETA-LACTAM","1312","Animal","ESBL"
"ERR10391386","blaCTX-M-15","CEPHALOSPORIN","1312","Animal","ESBL"
"ERR10391387","blaEC","BETA-LACTAM","4681","Animal","ESBL"
"ERR10391387","blaCTX-M-15","CEPHALOSPORIN","4681","Animal","ESBL"
"ERR10391388","blaCTX-M-27","CEPHALOSPORIN","48","Animal","ESBL"
"ERR10391388","blaEC","BETA-LACTAM","48","Animal","ESBL"
"ERR10391389","blaEC","BETA-LACTAM","48","Animal","ESBL"
"ERR10391389","blaCTX-M-15","CEPHALOSPORIN","48","Animal","ESBL"
"ERR10391389","blaTEM-1","BETA-LACTAM","48","Animal","ESBL"
"ERR10391390","blaEC","BETA-LACTAM","1290","Animal","ESBL"
"ERR10391390","blaTEM","BETA-LACTAM","1290","Animal","ESBL"
"ERR10391390","blaCTX-M-15","CEPHALOSPORIN","1290","Animal","ESBL"
"ERR10391391","blaTEM-1","BETA-LACTAM","5086","Animal","ESBL"
"ERR10391391","blaCTX-M-15","CEPHALOSPORIN","5086","Animal","ESBL"
"ERR10391391","blaEC","BETA-LACTAM","5086","Animal","ESBL"
"ERR10391392","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391392","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391393","blaEC","BETA-LACTAM","12821","Animal","ESBL"
"ERR10391393","blaCTX-M-55","CEPHALOSPORIN","12821","Animal","ESBL"
"ERR10391394","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391394","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391395","blaCTX-M-14","CEPHALOSPORIN","2705","Animal","ESBL"
"ERR10391395","blaEC","BETA-LACTAM","2705","Animal","ESBL"
"ERR10391396","blaEC","BETA-LACTAM","405","Animal","ESBL"
"ERR10391396","ftsI_I336IKYRI","AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN","405","Animal","ESBL"
"ERR10391396","blaTEM","BETA-LACTAM","405","Animal","ESBL"
"ERR10391396","blaCTX-M-15","CEPHALOSPORIN","405","Animal","ESBL"
"ERR10391396","blaOXA-1","CEPHALOSPORIN","405","Animal","ESBL"
"ERR10391397","ftsI_N337NYRIN","AZTREONAM/CEFIDEROCOL/CEPHALOSPORIN","167","Animal","ESBL"
"ERR10391397","blaEC","BETA-LACTAM","167","Animal","ESBL"
"ERR10391397","blaNDM-5","CARBAPENEM","167","Animal","ESBL"
"ERR10391397","blaCTX-M-15","CEPHALOSPORIN","167","Animal","ESBL"
"ERR10391397","blaOXA-1","CEPHALOSPORIN","167","Animal","ESBL"
"ERR10391398","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391398","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391399","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391399","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391400","blaEC","BETA-LACTAM","12821","Animal","ESBL"
"ERR10391400","blaCTX-M-55","CEPHALOSPORIN","12821","Animal","ESBL"
"ERR10391401","blaEC","BETA-LACTAM","10","Animal","ESBL"
"ERR10391401","blaCTX-M-15","CEPHALOSPORIN","10","Animal","ESBL"
"ERR10391401","blaTEM-1","BETA-LACTAM","10","Animal","ESBL"
"ERR10391402","blaEC","BETA-LACTAM","485","Animal","ESBL"
"ERR10391402","blaCTX-M-15","CEPHALOSPORIN","485","Animal","ESBL"
"ERR10391403","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391403","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391404","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391404","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391405","blaCTX-M-15","CEPHALOSPORIN","1722","Animal","ESBL"
"ERR10391405","blaEC","BETA-LACTAM","1722","Animal","ESBL"
"ERR10391406","blaEC","BETA-LACTAM","58","Animal","ESBL"
"ERR10391406","blaCTX-M-15","CEPHALOSPORIN","58","Animal","ESBL"
"ERR10391406","blaTEM-1","BETA-LACTAM","58","Animal","ESBL"
"ERR10391407","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391407","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391408","blaEC","BETA-LACTAM","2172","Animal","ESBL"
"ERR10391408","blaCTX-M-15","CEPHALOSPORIN","2172","Animal","ESBL"
"ERR10391408","blaTEM-1","BETA-LACTAM","2172","Animal","ESBL"
"ERR10391409","blaCTX-M-115","CEPHALOSPORIN","648","Animal","ESBL"
"ERR10391409","blaTEM","BETA-LACTAM","648","Animal","ESBL"
"ERR10391409","blaEC","BETA-LACTAM","648","Animal","ESBL"
"ERR10391410","blaCTX-M-15","CEPHALOSPORIN","453","Animal","ESBL"
"ERR10391410","blaEC","BETA-LACTAM","453","Animal","ESBL"
"ERR10391410","blaTEM-1","BETA-LACTAM","453","Animal","ESBL"
"ERR10391411","blaEC","BETA-LACTAM","48","Animal","ESBL"
"ERR10391411","blaTEM-1","BETA-LACTAM","48","Animal","ESBL"
"ERR10391411","blaCTX-M-1","CEPHALOSPORIN","48","Animal","ESBL"
"ERR10391412","blaCTX-M-15","CEPHALOSPORIN","226","Animal","ESBL"
"ERR10391412","blaEC","BETA-LACTAM","226","Animal","ESBL"
"ERR10391413","blaEC","BETA-LACTAM","1312","Animal","ESBL"
"ERR10391413","blaCTX-M-15","CEPHALOSPORIN","1312","Animal","ESBL"
"ERR10391414","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391414","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391415","blaCTX-M-27","CEPHALOSPORIN","-","Animal","ESBL"
"ERR10391415","blaEC","BETA-LACTAM","-","Animal","ESBL"
"ERR10391416","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391416","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391417","blaEC","BETA-LACTAM","206","Animal","ESBL"
"ERR10391417","blaCTX-M-15","CEPHALOSPORIN","206","Animal","ESBL"
"ERR10391417","blaTEM-1","BETA-LACTAM","206","Animal","ESBL"
"ERR10391418","blaCTX-M-15","CEPHALOSPORIN","155","Animal","ESBL"
"ERR10391418","blaTEM-1","BETA-LACTAM","155","Animal","ESBL"
"ERR10391418","blaEC","BETA-LACTAM","155","Animal","ESBL"
"ERR10391419","blaCTX-M-27","CEPHALOSPORIN","48","Animal","ESBL"
"ERR10391419","blaEC","BETA-LACTAM","48","Animal","ESBL"
"ERR10391420","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391420","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391421","blaEC","BETA-LACTAM","1312","Animal","ESBL"
"ERR10391421","blaCTX-M-15","CEPHALOSPORIN","1312","Animal","ESBL"
"ERR10391421","blaTEM-1","BETA-LACTAM","1312","Animal","ESBL"
"ERR10391422","blaCTX-M-15","CEPHALOSPORIN","10","Animal","ESBL"
"ERR10391422","blaTEM-1","BETA-LACTAM","10","Animal","ESBL"
"ERR10391422","blaEC","BETA-LACTAM","10","Animal","ESBL"
"ERR10391423","blaEC","BETA-LACTAM","542","Animal","ESBL"
"ERR10391423","blaCTX-M-15","CEPHALOSPORIN","542","Animal","ESBL"
"ERR10391424","blaEC","BETA-LACTAM","7588","Animal","ESBL"
"ERR10391424","ompF_Q88STOP","CARBAPENEM","7588","Animal","ESBL"
"ERR10391424","blaCTX-M-15","CEPHALOSPORIN","7588","Animal","ESBL"
"ERR10391424","blaTEM-1","BETA-LACTAM","7588","Animal","ESBL"
"ERR10391425","blaCTX-M-27","CEPHALOSPORIN","48","Animal","ESBL"
"ERR10391425","blaEC","BETA-LACTAM","48","Animal","ESBL"
"ERR10391426","blaEC","BETA-LACTAM","484","Animal","ESBL"
"ERR10391426","blaTEM-1","BETA-LACTAM","484","Animal","ESBL"
"ERR10391426","blaCTX-M-15","CEPHALOSPORIN","484","Animal","ESBL"
"ERR10391427","blaEC","BETA-LACTAM","361","Animal","ESBL"
"ERR10391427","blaCTX-M-15","CEPHALOSPORIN","361","Animal","ESBL"
"ERR10391427","blaTEM-1","BETA-LACTAM","361","Animal","ESBL"
"ERR10391428","blaCTX-M-27","CEPHALOSPORIN","48","Animal","ESBL"
"ERR10391428","blaEC","BETA-LACTAM","48","Animal","ESBL"
"ERR10391429","blaCTX-M-15","CEPHALOSPORIN","7612","Animal","ESBL"
"ERR10391429","blaTEM-1","BETA-LACTAM","7612","Animal","ESBL"
"ERR10391429","blaEC","BETA-LACTAM","7612","Animal","ESBL"
"ERR10391430","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391430","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391431","blaCTX-M-15","CEPHALOSPORIN","226","Animal","ESBL"
"ERR10391431","blaEC","BETA-LACTAM","226","Animal","ESBL"
"ERR10391432","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391432","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391433","blaCTX-M-15","CEPHALOSPORIN","3489","Animal","ESBL"
"ERR10391433","blaEC","BETA-LACTAM","3489","Animal","ESBL"
"ERR10391434","blaEC","BETA-LACTAM","3331","Animal","ESBL"
"ERR10391434","blaTEM-1","BETA-LACTAM","3331","Animal","ESBL"
"ERR10391434","blaCTX-M-15","CEPHALOSPORIN","3331","Animal","ESBL"
"ERR10391435","blaCTX-M-27","CEPHALOSPORIN","716","Animal","ESBL"
"ERR10391435","blaEC","BETA-LACTAM","716","Animal","ESBL"
"ERR10391436","blaEC","BETA-LACTAM","443","Animal","ESBL"
"ERR10391436","blaCTX-M-27","CEPHALOSPORIN","443","Animal","ESBL"
"ERR10391437","blaCTX-M","CEPHALOSPORIN","-","Animal","ESBL"
"ERR10391437","blaEC","BETA-LACTAM","-","Animal","ESBL"
"ERR10391438","blaEC","BETA-LACTAM","12780","Animal","ESBL"
